lat,lng,HAZ_CLASS
-374005.7962,-49798.1727,1
-373855.0862,-49684.0592,1
-373894.8187,-39126.742,1
-373822.981,-49655.7983,1
-373790.8675,-49627.5344,1
-374131.7876,-12339.8705,1
-373758.6797,-49599.3174,1
-373706.5792,-49562.8246,1
-373884.7722,-48647.7337,1
-373642.6615,-48894.0295,1
-373575.7644,-48972.8201,1
-373527.4782,-49016.9566,1
-372808.9877,112309.0491,1
-371413.5179,-51601.2691,1
-371363.3733,-51678.4299,1
-371337.6459,-51715.8897,1
-370920.5885,-52501.0178,1
-369600.4072,-45031.5785,1
-369592.1522,-44567.0083,1
-369525.2647,-42344.5248,1
-369483.2462,-45742.4958,1
-369295.1736,-43369.7808,1
-371935.092,-34003.2382,1
-367285.9859,-42505.2347,1
-364808.407,-20482.5888,1
-364746.8398,-20633.8682,1
-364749.1468,-21460.6234,1
-364663.7807,-18490.0438,1
-364435.354,-23384.0507,1
-364453.9181,-21578.2603,1
-364234.4393,-22222.1182,1
-364138.6983,-31434.2045,1
-363370.4356,-27373.8858,1
-362900.1927,-36266.7092,1
-375167.8259,-8562.901,1
-363163.513,-37964.249,1
-360687.7816,-30343.2534,1
-361884.3963,-40487.9438,1
-360539.78,-30970.9011,1
-359713.1564,129048.3939,1
-360160.8013,-20172.6603,1
-359539.7057,-16942.98,1
-357281.6371,-38541.9924,1
-357186.877,-38678.6425,1
-357158.881,-38711.336,1
-357206.8134,-37666.9724,1
-357123.5199,-38764.6588,1
-357093.0302,-37876.8667,1
-359317.6035,-39948.8448,1
-357410.9125,50316.0836,1
-359971.2326,-34565.503,1
-354029.3456,-50788.3235,1
-354781.0708,123319.0343,1
-353692.1905,120028.0952,1
-352410.4825,129751.8581,1
-353583.6729,48128.7023,1
-355572.9854,126682.392,1
-352947.3251,-43090.3686,1
-351798.3043,122957.913,1
-351832.5824,-45445.8538,1
-350318.0403,-34974.149,1
-351499.4082,-48607.6659,1
-349853.4533,46209.2013,1
-352593.8381,-25874.0678,1
-348281.0823,-53509.169,1
-347919.7353,-53796.1432,1
-347883.8881,-53822.4535,1
-347335.6747,45673.8042,1
-347021.8749,-54367.8503,1
-346986.0412,-54398.087,1
-346991.9711,45414.6778,1
-346832.0112,-54634.0769,1
-347852.9217,123634.5391,1
-346620.8124,-55172.3475,1
-346593.8907,-55241.2418,1
-346700.5506,-54882.0058,1
-346566.9689,-55310.1362,1
-346784.1877,33692.1077,1
-346454.7273,123465.2727,1
-346687.9045,39996.0061,1
-346073.0684,-27026.0541,1
-346295.3144,45284.5415,1
-345846.3282,44967.5259,1
-344116.1997,30938.3189,1
-350305.5565,-42934.1199,1
-342438.7937,48253.5491,1
-341957.4602,48360.3889,1
-342530.2059,29512.1075,1
-341904.5309,48496.7059,1
-341879.7126,48539.4115,1
-341848.2244,28683.6146,1
-341860.6405,48596.2979,1
-341828.9539,28623.921,1
-341812.091,48676.7725,1
-341788.5757,28562.8996,1
-341785.8651,48713.3684,1
-341759.5127,48749.2452,1
-341722.5851,-54084.7327,1
-341699.0394,-54178.1376,1
-341668.7235,-54237.5251,1
-341519.9186,49079.8864,1
-341458.3409,49167.7019,1
-341557.4847,-54464.8231,1
-341356.9236,-54650.7262,1
-341141.3868,49793.2709,1
-341334.3428,50505.8506,1
-341096.4951,50611.3186,1
-341165.3045,-54807.7527,1
-341143.2757,51055.029,1
-341068.2917,-55045.5723,1
-341008.4028,-55196.7442,1
-340829.7703,-55528.9088,1
-340568.0855,-56157.5534,1
-340361.7807,-56585.2126,1
-338722.4515,25206.0272,1
-346554.6135,133337.0324,1
-339566.1976,-58171.0977,1
-337689.268,-54494.5256,1
-337654.2256,-54612.605,1
-337624.5379,-54727.9221,1
-337678.7936,-54277.3344,1
-341256.2663,41352.8717,1
-337468.0916,-53849.1731,1
-337426.6976,-53873.2796,1
-337468.8053,27888.4194,1
-337254.76,-53877.195,1
-337119.6754,28609.0791,1
-337089.533,28668.7983,1
-337059.3906,28728.5175,1
-337029.2482,28788.2367,1
-336999.1058,28847.9559,1
-336968.9634,28907.6751,1
-336938.821,28967.3943,1
-336908.6786,29027.1135,1
-336878.5362,29086.8328,1
-336870.9111,29607.0468,1
-336843.3227,29166.552,1
-336841.6557,29514.6334,1
-336813.1803,29226.2713,1
-336812.4002,29422.2201,1
-336782.7136,29289.592,1
-336955.9994,-53513.8677,1
-336482.6633,-53614.3764,1
-336386.8885,-53738.9066,1
-336320.6172,-53810.6172,1
-336150.7768,-53314.4077,1
-335619.896,87705.7008,1
-335663.2918,-53308.8601,1
-336581.8208,84857.8592,1
-335594.1579,148845.8092,1
-336088.4363,83404.083,1
-335010.9072,63613.5677,1
-335581.2285,-30738.4873,1
-334443.2081,148774.6529,1
-334410.7522,60349.3042,1
-334207.3639,60585.3258,1
-333902.7041,79005.965,1
-333720.1855,-50142.8779,1
-333670.7824,-49904.88,1
-333665.7305,-49627.0259,1
-333634.4999,-50224.4638,1
-333604.419,-50254.3836,1
-333542.4426,-50303.7613,1
